microbe,disease,effect,pmid,evidence,SCD,evidence_record_count
Abiotrophia,lung cancer,increase,27987594; 30942501; 32541778,More predominant in sputum samples of never-smoked lung cancer patients || Enriched in lung cancer cases compared to controls || Increased risk of developing lung cancer,"Commensal bacteria have a direct effect on the Th17-dependent pathway and calcineurin expression, which may influence lung cancer development",3
Streptococcus,lung cancer,increase,27987594; 30942501; 31492894; 32541778,"More predominant in sputum samples of never-smoked lung cancer patients || Enriched in lung cancer cases compared to controls || In LC, a Firmicutes switch was suggested in result of augmented Streptococcus prevalence || Increased risk of developing lung cancer","Mycobacterium tuberculosis induces inflammatory markers and causes significant alterations in lung tissues, potentially contributing to lung cancer pathogenesis || Commensal bacteria have a direct effect on the Th17-dependent pathway and calcineurin expression, which may influence lung cancer development",4
Lactobacillus,lung cancer,decrease,27987594,Reported to have therapeutic effect in a lung cancer mouse model,,1
Clostridium perfringens,Preeclampsia,increase,27988814,Increased in PE patients (p=0.03),,1
Bulleidia moorei,Preeclampsia,increase,27988814,Increased in PE patients (p=0.00),,1
Coprococcus catus,Preeclampsia,decrease,27988814,Reduced in PE patients (p=0.03),,1
Tenericutes,Preeclampsia,increase,27988814,Increased in late pregnancy (p<0.05),,1
Verrucomicrobia,Preeclampsia,decrease,27988814,Almost disappeared in late pregnancy (p<0.05),,1
Cyanobacteria,Preeclampsia,increase,27988814,Increased in PE patients (p<0.05),,1
Butyrivibrio,type 2 diabetes,decrease,27999002,"Metformin treatment increases the relative abundance of Butyrivibrio, a short-chain fatty acid (SCFA)-producing microbiota","Metformin's effects on gut microbiota, including enrichment of Akkermansia muciniphila and SCFA-producing microbiota, may mediate its glycemic and anti-inflammatory properties",1
Bifidobacterium bifidum,type 2 diabetes,decrease,27999002,"Metformin treatment increases the relative abundance of Bifidobacterium bifidum, a short-chain fatty acid (SCFA)-producing microbiota","Metformin's effects on gut microbiota, including enrichment of Akkermansia muciniphila and SCFA-producing microbiota, may mediate its glycemic and anti-inflammatory properties",1
Megasphaera,type 2 diabetes,decrease,27999002,"Metformin treatment increases the relative abundance of Megasphaera, a short-chain fatty acid (SCFA)-producing microbiota","Metformin's effects on gut microbiota, including enrichment of Akkermansia muciniphila and SCFA-producing microbiota, may mediate its glycemic and anti-inflammatory properties",1
Prevotella,type 2 diabetes,decrease,27999002,"Metformin treatment increases the relative abundance of a specific operational taxonomic unit of Prevotella, a short-chain fatty acid (SCFA)-producing microbiota","Metformin's effects on gut microbiota, including enrichment of Akkermansia muciniphila and SCFA-producing microbiota, may mediate its glycemic and anti-inflammatory properties",1
Clostridiaceae 02d06,type 2 diabetes,increase,27999002,Participants with diabetes not taking metformin had higher relative abundance of Clostridiaceae 02d06,"Metformin's effects on gut microbiota, including enrichment of Akkermansia muciniphila and SCFA-producing microbiota, may mediate its glycemic and anti-inflammatory properties",1
Enterococcus casseliflavus,type 2 diabetes,decrease,27999002,Participants with diabetes not taking metformin had lower abundance of Enterococcus casseliflavus,"Metformin's effects on gut microbiota, including enrichment of Akkermansia muciniphila and SCFA-producing microbiota, may mediate its glycemic and anti-inflammatory properties",1
Bacteroides fragilis,rectal cancer,increase,28018861,"Two Bacteroides fragilis OTUs were more abundant among rectal-cancer patients seen through 16S rRNA amplicon sequencing, confirmed by immunohistochemistry and digital droplet PCR",,1
Dorea,rectal cancer,increase,28018861,Majority of rectal cancer samples clustered into an enterotype characterized by greater abundance of Bacteroides and Dorea,,1
Phascolarctobacterium,rectal cancer,increase,28018861,Rectal-cancer samples had higher abundances of Phascolarctobacterium compared to non-cancer samples,,1
Parabacteroides,rectal cancer,increase,28018861,Rectal-cancer samples had higher abundances of Parabacteroides compared to non-cancer samples,,1
Desulfovibrio,rectal cancer,increase,28018861,Rectal-cancer samples had higher abundances of Desulfovibrio compared to non-cancer samples,,1
Odoribacter,rectal cancer,increase,28018861,Rectal-cancer samples had higher abundances of Odoribacter compared to non-cancer samples,,1
Pseudomonas,rectal cancer,decrease,28018861,Non-cancer samples had higher abundances of Pseudomonas compared to rectal-cancer samples,,1
Escherichia,rectal cancer,decrease,28018861,Non-cancer samples had higher abundances of Escherichia compared to rectal-cancer samples,,1
Acinetobacter,rectal cancer,decrease,28018861,Non-cancer samples had higher abundances of Acinetobacter compared to rectal-cancer samples,,1
Lactobacillus,rectal cancer,decrease,28018861,Non-cancer samples had higher abundances of Lactobacillus compared to rectal-cancer samples,,1
Bacillus,rectal cancer,decrease,28018861,Non-cancer samples had higher abundances of Bacillus compared to rectal-cancer samples,,1
Bacilli,Colorectal cancer,increase,28038683,CA cases were enriched in the class Bacilli,,1
Gammaproteobacteria,Colorectal cancer,increase,28038683,CA cases were enriched in the class Gammaproteobacteria,,1
Enterobacteriales,Colorectal cancer,increase,28038683,CA cases were enriched in the order Enterobacteriales,,1
Actinomyces,Colorectal cancer,increase,28038683,CA cases were enriched in the genus Actinomyces,,1
Erysipelotrichi,Colorectal cancer,decrease,28038683,SSA cases were depleted in the class Erysipelotrichi,,1
Eubacterium rectale,Ulcerative Colitis,decrease,28039159,Significantly reduced in abundance in UC patients compared to healthy siblings,,1
Faecalibacterium prausnitzii,Ulcerative Colitis,decrease,28039159,Significantly reduced in abundance in UC patients compared to healthy siblings,,1
Escherichia coli,Ulcerative Colitis,increase,28039159,Enriched in UC patients and correlated with several virulence genes,,1
Tenericutes,Polycystic ovary syndrome,decrease,28045919,Relative abundance was significantly lower in PCOS patients and associated with reproductive parameters,"PCOS patients display a heightened inflammatory state with increased circulating C-reactive protein. Endotoxemia resulting from a leaky gut is hypothesized to be associated with inflammation, insulin resistance, fat accumulation, and hyperandrogenemia in PCOS.",1
ML615J-28,Polycystic ovary syndrome,decrease,28045919,Relative abundance was significantly lower in PCOS patients and associated with reproductive parameters,"PCOS patients display a heightened inflammatory state with increased circulating C-reactive protein. Endotoxemia resulting from a leaky gut is hypothesized to be associated with inflammation, insulin resistance, fat accumulation, and hyperandrogenemia in PCOS.",1
S24-7,Polycystic ovary syndrome,decrease,28045919,Relative abundance was significantly lower in PCOS patients and associated with reproductive parameters,"PCOS patients display a heightened inflammatory state with increased circulating C-reactive protein. Endotoxemia resulting from a leaky gut is hypothesized to be associated with inflammation, insulin resistance, fat accumulation, and hyperandrogenemia in PCOS.",1
Bifidobacterium,lactose intolerance,decrease,28049818,Increased abundance of lactose-fermenting Bifidobacterium correlated with improved lactose tolerance,,1
Faecalibacterium,lactose intolerance,decrease,28049818,Increased abundance of lactose-fermenting Faecalibacterium correlated with improved lactose tolerance,,1
Lactobacillus,lactose intolerance,decrease,28049818,Increased abundance of lactose-fermenting Lactobacillus correlated with improved lactose tolerance,,1
Roseburia,lactose intolerance,decrease,28049818,Increased abundance of lactose-fermenting Roseburia species correlated with improved lactose tolerance after dairy reintroduction,,1
intestinal microbiota,neuroblastoma,decrease,28074537,"Neuroblastoma induces alterations in the intestinal microbiome, which is associated with tumor cachexia and metabolic changes","Neuroblastoma induces a pro-inflammatory profile with increases in monocyte chemotactic protein 1 (MCP-1), tumor necrosis factor alpha (TNF-α), and interleukin-10 (IL-10), which are associated with tumor-associated cachexia and metabolic alterations",1
Agarivorans gilvus,exercise-induced fatigue,decrease,28083922,"NAT derived from Agarivorans gilvus WH0801 modulates gut microbiota and increases SCFAs, protecting against exercise-induced fatigue","Modulation of gut microbiota composition and function by NAT leads to increased short-chain fatty acids (SCFAs), which may help reduce inflammation and improve gut integrity, thereby ameliorating exercise-induced fatigue symptoms",1
